Time,Temperature,Humidity,Preasure
21:40:52,20.9,33.0,1.1
21:41:02,20.8,33.0,1.1
21:41:12,20.9,33.0,1.1
21:41:22,21.1,34.0,1.1
21:41:32,20.8,33.0,1.1
21:41:42,20.9,33.0,1.1
21:41:52,21.0,34.0,1.1
21:42:02,20.8,33.0,1.1
07:39:11,22.40,26.00,1.10
07:39:21,22.20,26.00,1.10
07:39:31,22.20,26.00,1.10
07:39:41,22.20,26.00,1.10
07:39:51,22.20,26.00,1.10
07:40:01,22.20,28.00,1.10
07:40:11,22.30,30.00,1.10
07:40:21,22.30,28.00,1.10
07:40:31,22.30,27.00,1.10
07:40:41,22.20,28.00,1.10
07:40:51,22.30,28.00,1.10
07:41:01,22.30,28.00,1.10
